session_id,rep_id,frame_number,timestamp,phase,knee_angle_left,knee_angle_right,hip_angle,back_angle,ankle_angle_left,ankle_angle_right,center_of_mass_x,center_of_mass_y,movement_velocity,acceleration,jerk,knee_symmetry_ratio,ankle_symmetry_ratio,weight_distribution_ratio,postural_sway,base_of_support_width,landmark_visibility,frame_quality_score,head_position_x,head_position_y,shoulder_alignment,heel_lift_left,heel_lift_right,foot_stability_score
session_20250901_000632_user,session_20250901_000632_user_rep_001,1,1756681596.928435,standing,165.29019239487815,148.14338294319032,167.05150272320031,96.56398380230374,0.0,0.0,0.37926529347896576,0.474923275411129,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9725142866373062,0.9890057146549225,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,2,1756681596.9580233,standing,168.33219666829442,150.34851218288813,169.43657542200987,96.71790940955174,0.0,0.0,0.37870338559150696,0.47368790209293365,0.0003357865615532418,8.307972450369858e-05,2.055544031209255e-05,1.0,1.0,1.0,0.0,0.0,0.9675579965114594,0.9870231986045839,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,3,1756681596.9865081,standing,169.17581175440628,150.97478972735829,170.7727975624224,95.90237862936127,0.0,0.0,0.37870344519615173,0.47353171557188034,3.8643399024573456e-05,-7.35186422197698e-05,-3.8745294346903286e-05,1.0,1.0,1.0,0.0,0.0,0.9627199694514275,0.9850879877805709,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,4,1756681597.0195055,standing,166.2159643390053,150.07792410964328,171.81669972802,93.71183846673543,0.0,0.0,0.37821297347545624,0.4736345186829567,0.00012398863801324654,2.111596994853834e-05,2.3414330433860378e-05,1.0,1.0,1.0,0.0,0.0,0.9624456614255905,0.9849782645702363,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,5,1756681597.0532162,standing,161.4918098829504,146.54909949484943,169.48496900614762,90.651462935988,0.0,0.0,0.3787148743867874,0.4764705300331116,0.0007125845386061634,0.00014562936955865138,3.0806887830104265e-05,1.0,1.0,1.0,0.0,0.0,0.9612510204315186,0.9845004081726074,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,6,1756681597.0841832,standing,158.2760746910462,145.09767833683466,164.8833443412848,91.60341717377776,0.0,0.0,0.3792864978313446,0.48166313767433167,0.00129250706941464,0.00014348341955732667,-5.309472007577631e-07,1.0,1.0,1.0,0.0,0.0,0.961492158472538,0.9845968633890152,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,7,1756681597.1163146,standing,152.91743787089518,135.31663924885717,156.46072963404686,94.51448770506308,0.0,0.0,0.37990163266658783,0.4861045554280281,0.0011093772769093955,-4.530965336843248e-05,-4.6710852317393216e-05,1.0,1.0,1.0,0.0,0.0,0.9621831104159355,0.9848732441663743,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,8,1756681597.1486843,standing,143.25141585252,127.54331238363204,147.5355920749468,97.34405180007852,0.0,0.0,0.38088323175907135,0.49149318039417267,0.001355184009801568,6.081707247417016e-05,2.6257689124598778e-05,1.0,1.0,1.0,0.0,0.0,0.9617124870419502,0.9846849948167802,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,9,1756681597.1802263,standing,132.6393284665461,112.10773039470368,134.04044957784583,100.77514785003301,0.0,0.0,0.3831629082560539,0.4975830465555191,0.0016088540956917007,6.27626095371306e-05,4.813613816312882e-07,1.0,1.0,1.0,0.0,0.0,0.9625329375267029,0.9850131750106812,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,10,1756681597.2117207,descent,117.85739402545856,100.7251124527716,122.60153332391909,103.7131101175014,0.0,0.0,0.3840182349085808,0.5038449093699455,0.0015636855052747374,-1.1175533739954944e-05,-1.8293646253622552e-05,1.0,1.0,1.0,0.0,0.0,0.9642172902822495,0.9856869161128998,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,11,1756681597.2407894,bottom,100.95099297516995,88.21287732882453,107.62973967756948,107.90932950580998,0.0,0.0,0.3874513655900955,0.5111430063843727,0.001995495415772646,0.0001068376537649043,2.9198616705667186e-05,1.0,1.0,1.0,0.0,0.0,0.9652232155203819,0.9860892862081527,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,12,1756681597.269674,bottom,98.14552026365386,81.03140356911733,98.51991336925596,112.04527529235813,0.0,0.0,0.38996095210313797,0.5165483877062798,0.0014745001118724858,-0.0001289037480104246,-5.832672583147621e-05,1.0,1.0,1.0,0.0,0.0,0.9634390771389008,0.9853756308555603,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,13,1756681597.2902527,bottom,97.9097005364647,78.27186542400005,92.61065708092804,114.96768245334988,0.0,0.0,0.3915582522749901,0.5222375392913818,0.001462026543755322,-3.086188434577283e-06,3.11295608107047e-05,1.0,1.0,1.0,0.0,0.0,0.9590845555067062,0.9836338222026826,,,,,,
session_20250901_000632_user,session_20250901_000632_user_rep_001,14,1756681597.3376195,bottom,90.61071938320038,74.55853976925856,86.43998694164003,116.80190494797039,0.0,0.0,0.3947441801428795,0.5274112895131111,0.0015033143597382183,1.0215359308459247e-05,3.291045707286434e-06,1.0,1.0,1.0,0.0,0.0,0.9541658982634544,0.9816663593053818,,,,,,
