session_id,user_id,timestamp,session_start,session_end,total_duration_seconds,total_reps,completed_reps,failed_reps,average_form_score,best_form_score,worst_form_score,total_faults,safety_faults,form_faults,depth_faults,user_skill_level,exercise_type,voice_feedback_enabled,session_quality_score,improvement_score,fatigue_detected,session_notes,system_version
session_20250901_000632_user,user,1756681592.8418622,2025-09-01T00:06:32.841862,2025-09-01T00:06:46.582867,13.741004943847656,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_002148_user,user,1756682508.8400934,2025-09-01T00:21:48.840093,2025-09-01T00:22:02.469910,13.629817247390747,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_003514_user,user,1756683314.6958318,2025-09-01T00:35:14.695831,2025-09-01T00:35:28.557151,13.861319303512573,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_003535_user,user,1756683335.637274,2025-09-01T00:35:35.637274,2025-09-01T00:35:50.735093,15.097819805145264,1,1,0,91.0,91,91,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_003800_user,user,1756683480.4821596,2025-09-01T00:38:00.482159,2025-09-01T00:38:14.263453,13.781293630599976,1,1,0,93.0,93,93,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_003823_user,user,1756683503.6035888,2025-09-01T00:38:23.603588,2025-09-01T00:38:34.533285,10.929697036743164,1,1,0,0.0,0,0,0,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_003837_user,user,1756683517.5135922,2025-09-01T00:38:37.513592,2025-09-01T00:38:51.471076,13.957484483718872,1,1,0,92.0,92,92,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_004858_user,user,1756684138.807453,2025-09-01T00:48:58.807452,2025-09-01T00:49:13.026749,14.219296216964722,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_004926_user,user,1756684166.5579298,2025-09-01T00:49:26.557929,2025-09-01T00:49:40.354310,13.796380758285522,1,1,0,93.0,93,93,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_005344_user,user,1756684424.8508358,2025-09-01T00:53:44.850835,2025-09-01T00:53:58.954509,14.103673458099365,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_005411_user,user,1756684451.0074267,2025-09-01T00:54:11.007426,2025-09-01T00:54:25.128312,14.120886087417603,1,1,0,93.0,93,93,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
