session_id,user_id,timestamp,session_start,session_end,total_duration_seconds,total_reps,completed_reps,failed_reps,average_form_score,best_form_score,worst_form_score,total_faults,safety_faults,form_faults,depth_faults,user_skill_level,exercise_type,voice_feedback_enabled,session_quality_score,improvement_score,fatigue_detected,session_notes,system_version
session_20250901_005649_user,user,1756684609.2721283,2025-09-01T00:56:49.272128,2025-09-01T00:57:03.156578,13.88444972038269,1,1,0,87.0,87,87,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_005713_user,user,1756684633.381757,2025-09-01T00:57:13.381756,2025-09-01T00:57:27.403362,14.021605253219604,1,1,0,93.0,93,93,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_005913_user,user,1756684753.3038685,2025-09-01T00:59:13.303868,2025-09-01T00:59:27.230321,13.926452875137329,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_005943_user,user,1756684783.443987,2025-09-01T00:59:43.443986,2025-09-01T00:59:57.265889,13.821902990341187,1,1,0,93.0,93,93,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_010157_user,user,1756684917.0228012,2025-09-01T01:01:57.022801,2025-09-01T01:02:11.056525,14.033724069595337,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_010218_user,user,1756684938.8685167,2025-09-01T01:02:18.868516,2025-09-01T01:02:32.673118,13.804602146148682,1,1,0,93.0,93,93,3,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_010700_user,user,1756685220.8470957,2025-09-01T01:07:00.847095,2025-09-01T01:07:14.718447,13.871351480484009,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_010729_user,user,1756685249.6349993,2025-09-01T01:07:29.634999,2025-09-01T01:07:43.368029,13.733030080795288,1,1,0,93.0,93,93,3,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_011050_user,user,1756685450.2350175,2025-09-01T01:10:50.235017,2025-09-01T01:11:04.176724,13.941706895828247,1,1,0,93.0,93,93,3,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_011128_user,user,1756685488.0521736,2025-09-01T01:11:28.052173,2025-09-01T01:11:41.948147,13.895973682403564,1,1,0,87.0,87,87,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_012155_user,user,1756686115.4662166,2025-09-01T01:21:55.466216,2025-09-01T01:22:09.361188,13.8949716091156,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_012247_user,user,1756686167.93719,2025-09-01T01:22:47.937190,2025-09-01T01:23:01.891023,13.95383358001709,1,1,0,95.0,95,95,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_013256_user,user,1756686776.4211247,2025-09-01T01:32:56.421124,2025-09-01T01:33:10.408539,13.986348390579224,1,1,0,87.0,87,87,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_013323_user,user,1756686803.646003,2025-09-01T01:33:23.646002,2025-09-01T01:33:37.510805,13.864802837371826,1,1,0,92.0,92,92,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_013549_user,user,1756686949.882497,2025-09-01T01:35:49.882496,2025-09-01T01:36:03.978115,14.095618486404419,1,1,0,87.0,87,87,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_013640_user,user,1756687000.703303,2025-09-01T01:36:40.703303,2025-09-01T01:36:54.585892,13.88258981704712,1,1,0,92.0,92,92,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_013858_user,user,1756687138.925282,2025-09-01T01:38:58.925282,2025-09-01T01:39:12.852409,13.927127838134766,1,1,0,87.0,87,87,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_013931_user,user,1756687171.7326841,2025-09-01T01:39:31.732684,2025-09-01T01:39:45.539355,13.806671142578125,1,1,0,92.0,92,92,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_014319_user,user,1756687399.7581656,2025-09-01T01:43:19.758165,2025-09-01T01:43:33.643571,13.885406255722046,1,1,0,87.0,87,87,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_014524_user,user,1756687524.2388904,2025-09-01T01:45:24.238890,2025-09-01T01:45:37.965995,13.727105140686035,1,1,0,92.0,92,92,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_020916_user,user,1756688956.5815368,2025-09-01T02:09:16.581536,2025-09-01T02:09:30.573399,13.991862773895264,1,1,0,89.0,89,89,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250901_020943_user,user,1756688983.4988787,2025-09-01T02:09:43.498878,2025-09-01T02:09:57.385377,13.886498212814331,1,1,0,84.0,84,84,2,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
