session_id,rep_id,rep_number,rep_start_time,rep_end_time,rep_duration_seconds,total_frames,valid_frames,frame_quality,final_form_score,safety_score,depth_score,stability_score,tempo_score,symmetry_score,technique_score,faults_detected,fault_categories,fault_severities,movement_phase_durations,peak_depth_angle,min_knee_angle,max_knee_angle,depth_percentage,movement_smoothness,bilateral_asymmetry,center_of_mass_deviation,postural_stability,voice_feedback_given,voice_messages_count,feedback_messages_generated,feedback_categories,enhanced_feedback_status,feedback_content,enhanced_feedback_content,user_response_time,correction_made
session_20250901_005913_user,session_20250901_005913_user_rep_001,1,1756684757.3958704,1756684766.3744066,8.978536128997803,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57605346473477,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['💎 Near-perfect execution - amazing work!', '🎯 Perfect depth control - hitting the target zone!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_005943_user,session_20250901_005943_user_rep_001,1,1756684787.5126965,1756684796.4080408,8.895344257354736,272,272,1.0,93,75,100,100,100,0,95.0,2,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57025261522085,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"[""🌟 Exceptional form - you're crushing it!"", '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_010157_user,session_20250901_010157_user_rep_001,1,1756684921.093661,1756684930.129222,9.035560846328735,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.58277719510224,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['⭐ Masterful movement - keep this up!', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_010218_user,session_20250901_010218_user_rep_001,1,1756684942.9143226,1756684951.8280668,8.9137442111969,272,272,1.0,93,75,100,91.06004811476558,100,100,95.0,3,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.56119390310086,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '⬇️ Ideal depth consistency - textbook execution!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_010700_user,session_20250901_010700_user_rep_001,1,1756685224.9333138,1756685233.8208368,8.88752293586731,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57121966151053,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['💎 Near-perfect execution - amazing work!', '🎯 Perfect depth control - hitting the target zone!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_010729_user,session_20250901_010729_user_rep_001,1,1756685253.6783977,1756685262.5388832,8.860485553741455,272,272,1.0,93,75,100,91.06004811476558,100,100,95.0,3,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.55678200863427,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_011050_user,session_20250901_011050_user_rep_001,1,1756685454.3244312,1756685463.3513842,9.026952981948853,272,272,1.0,93,75,100,91.03932389919761,100,100,95.0,3,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57659775446136,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['💎 Near-perfect execution - amazing work!', '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_011128_user,session_20250901_011128_user_rep_001,1,1756685492.1127038,1756685501.0781693,8.965465545654297,272,272,1.0,87,75,100,100,0,0,0,1,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.56227206060466,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"['🎯 Excellent form with minor refinements needed.', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_012155_user,session_20250901_012155_user_rep_001,1,1756686119.5144143,1756686128.4955676,8.9811532497406,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.574101608175,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_012247_user,session_20250901_012247_user_rep_001,1,1756686172.0047624,1756686181.0655541,9.060791730880737,272,272,1.0,95,78.20241891938664,100,100,100,100,95.0,2,,,,51.71974497124586,51.71974497124586,179.98036662022514,100.0,99.56818911896322,13.193524362048256,4.363121107813042,100.0,False,0,0,,success,"['🏆 Outstanding overall performance!', '🎯 Perfect depth control - hitting the target zone!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
