user_name,rep_id,start_timestamp_ms,bottom_timestamp_ms,end_timestamp_ms,duration_ms,min_knee_angle_deg,max_trunk_flex_deg,max_valgus_dev_deg,depth_fault_flag,valgus_fault_flag,trunk_fault_flag,form_score_percent,stability_index_knee,stability_index_trunk,aot_valgus_ms_deg,aot_trunk_ms_deg,ai_rep_detected
mitcha,10,1757431062018,1757431063518,1757431065018,3000,90,0,0,0,0,1,90,100,100,0,0,1
mitchb,1,1757431195104,1757431196604,1757431198104,3000,90,0,0,0,0,1,89,100,100,0,0,1
mitchb,2,1757431200724,1757431202224,1757431203724,3000,90,0,0,0,0,1,91,100,100,0,0,1
mitchb,3,1757431205996,1757431207496,1757431208996,3000,90,0,0,0,0,1,91,100,100,0,0,1
mitchb,4,1757431210685,1757431212185,1757431213685,3000,90,0,0,0,0,1,91,100,100,0,0,1
mitchb,5,1757431216901,1757431218401,1757431219901,3000,90,0,0,0,0,1,93,100,100,0,0,1
mitchb,6,1757431222200,1757431223700,1757431225200,3000,90,0,0,0,0,1,94,100,100,0,0,1
mitchb,7,1757431226894,1757431228394,1757431229894,3000,90,0,0,0,0,1,93,100,100,0,0,1
mitchb,8,1757431232301,1757431233801,1757431235301,3000,90,0,0,0,0,1,92,100,100,0,0,1
mitchb,9,1757431237661,1757431239161,1757431240661,3000,90,0,0,0,0,1,93,100,100,0,0,1
mitchb,10,1757431243288,1757431244788,1757431246288,3000,90,0,0,0,0,1,93,100,100,0,0,1
dimb,1,1757431595543,1757431597043,1757431598543,3000,90,0,0,0,0,1,89,100,100,0,0,1
dimb,2,1757431650787,1757431652287,1757431653787,3000,90,0,0,0,0,1,29,68.98768587849477,68.98768587849477,0,0,1
dimb,3,1757431661813,1757431663313,1757431664813,3000,90,0,0,0,0,1,87,100,100,0,0,1
dimb,4,1757431674322,1757431675822,1757431677322,3000,90,0,0,0,0,1,66,71.22080415698575,71.22080415698575,0,0,1
dimb,5,1757431677487,1757431678987,1757431680487,3000,90,0,0,0,0,1,88,88.47876263269481,88.47876263269481,0,0,1
dimb,6,1757431680160,1757431681660,1757431683160,3000,90,0,0,0,0,1,91,100,100,0,0,1
dimb,7,1757431683579,1757431685079,1757431686579,3000,90,0,0,0,0,1,91,100,100,0,0,1
dimb,8,1757431687515,1757431689015,1757431690515,3000,90,0,0,0,0,1,94,100,100,0,0,1
dimb,9,1757431698383,1757431699883,1757431701383,3000,90,0,0,0,0,1,70,63.64409732739668,63.64409732739668,0,0,1
dimb,10,1757431701215,1757431702715,1757431704215,3000,90,0,0,0,0,1,87,100,100,0,0,1
dima,1,1757431848541,1757431850041,1757431851541,3000,90,0,0,0,0,1,89,100,100,0,0,1
dima,2,1757431852046,1757431853546,1757431855046,3000,90,0,0,0,0,1,92,100,100,0,0,1
dima,3,1757431855025,1757431856525,1757431858025,3000,90,0,0,0,0,1,92,100,100,0,0,1
dima,4,1757431858178,1757431859678,1757431861178,3000,90,0,0,0,0,1,93,100,100,0,0,1
dima,5,1757431861151,1757431862651,1757431864151,3000,90,0,0,0,0,1,92,100,100,0,0,1
dima,6,1757431864208,1757431865708,1757431867208,3000,90,0,0,0,0,1,92,100,100,0,0,1
dima,7,1757431866932,1757431868432,1757431869932,3000,90,0,0,0,0,1,89,100,100,0,0,1
dima,8,1757431870439,1757431871939,1757431873439,3000,90,0,0,0,0,1,92,100,100,0,0,1
dima,9,1757431873429,1757431874929,1757431876429,3000,90,0,0,0,0,1,87,100,100,0,0,1
dima,10,1757431876496,1757431877996,1757431879496,3000,90,0,0,0,0,1,90,100,100,0,0,1
dima,11,1757431879372,1757431880872,1757431882372,3000,90,0,0,0,0,1,89,100,100,0,0,1
afeeza,1,1757432013274,1757432014774,1757432016274,3000,90,0,0,0,0,1,93,100,100,0,0,1
afeeza,2,1757432019513,1757432021013,1757432022513,3000,90,0,0,0,0,1,89,91.45535001191938,91.45535001191938,0,0,1
afeeza,3,1757432025387,1757432026887,1757432028387,3000,90,0,0,0,0,1,86,89.6199394237153,89.6199394237153,0,0,1
afeeza,4,1757432030237,1757432031737,1757432033237,3000,90,0,0,0,0,1,83,89.27128244995173,89.27128244995173,0,0,1
afeeza,5,1757432034892,1757432036392,1757432037892,3000,90,0,0,0,0,1,87,89.94409827656474,89.94409827656474,0,0,1
afeeza,6,1757432039617,1757432041117,1757432042617,3000,90,0,0,0,0,1,91,100,100,0,0,1
afeeza,7,1757432044278,1757432045778,1757432047278,3000,90,0,0,0,0,1,87,87.18691346032072,87.18691346032072,0,0,1
afeeza,8,1757432048804,1757432050304,1757432051804,3000,90,0,0,0,0,1,84,85.17491770951113,85.17491770951113,0,0,1
afeeza,9,1757432054210,1757432055710,1757432057210,3000,90,0,0,0,0,1,83,82.16274796685985,82.16274796685985,0,0,1
afeeza,10,1757432059167,1757432060667,1757432062167,3000,90,0,0,0,0,1,88,89.15495230629543,89.15495230629543,0,0,1
afeezb,1,1757432176117,1757432177617,1757432179117,3000,90,0,0,0,0,1,87,100,100,0,0,1
afeezb,2,1757432184754,1757432186254,1757432187754,3000,90,0,0,0,0,1,72,67.76622001402137,67.76622001402137,0,0,1
afeezb,3,1757432188739,1757432190239,1757432191739,3000,90,0,0,0,0,1,91,100,100,0,0,1
afeezb,4,1757432194441,1757432195941,1757432197441,3000,90,0,0,0,0,1,91,91.15066531017159,91.15066531017159,0,0,1
afeezb,5,1757432204572,1757432206072,1757432207572,3000,90,0,0,0,0,1,78,80,80,0,0,1
afeezb,6,1757432209586,1757432211086,1757432212586,3000,90,0,0,0,0,1,87,100,100,0,0,1
afeezb,7,1757432214651,1757432216151,1757432217651,3000,90,0,0,0,0,1,86,90.7905666610482,90.7905666610482,0,0,1
afeezb,8,1757432219886,1757432221386,1757432222886,3000,90,0,0,0,0,1,85,83.19892812314635,83.19892812314635,0,0,1
afeezb,9,1757432224059,1757432225559,1757432227059,3000,90,0,0,0,0,1,82,83.98224850035848,83.98224850035848,0,0,1
afeezb,10,1757432228219,1757432229719,1757432231219,3000,90,0,0,0,0,1,83,83.47154264464706,83.47154264464706,0,0,1
kene_b,1,1757432595741,1757432597241,1757432598741,3000,90,0,0,0,0,1,54,80.30077558782833,80.30077558782833,0,0,1
kene_b,2,1757432601284,1757432602784,1757432604284,3000,90,0,0,0,0,1,87,100,100,0,0,1
kene_b,3,1757432604337,1757432605837,1757432607337,3000,90,0,0,0,0,1,82,100,100,0,0,1
kene_b,4,1757432607490,1757432608990,1757432610490,3000,90,0,0,0,0,1,88,100,100,0,0,1
kene_b,5,1757432610710,1757432612210,1757432613710,3000,90,0,0,0,0,1,84,100,100,0,0,1
kene_b,6,1757432615259,1757432616759,1757432618259,3000,90,0,0,0,0,1,84,100,100,0,0,1
kene_b,7,1757432618681,1757432620181,1757432621681,3000,90,0,0,0,0,1,84,100,100,0,0,1
kene_b,8,1757432622538,1757432624038,1757432625538,3000,90,0,0,0,0,1,83,100,100,0,0,1
kene_b,9,1757432622781,1757432624281,1757432625781,3000,90,0,0,0,0,0,0,0.0,0.0,0,0,1
kene_b,10,1757432626030,1757432627530,1757432629030,3000,90,0,0,0,0,1,86,100,100,0,0,1
kene_b,11,1757432629799,1757432631299,1757432632799,3000,90,0,0,0,0,1,87,100,100,0,0,1
kenea,1,1757432945206,1757432946706,1757432948206,3000,90,0,0,0,0,1,86,100,100,0,0,1
kenea,2,1757432948112,1757432949612,1757432951112,3000,90,0,0,0,0,1,81,88.5953894839615,88.5953894839615,0,0,1
kenea,3,1757432951129,1757432952629,1757432954129,3000,90,0,0,0,0,1,79,91.46399814561677,91.46399814561677,0,0,1
kenea,4,1757432953860,1757432955360,1757432956860,3000,90,0,0,0,0,1,83,100,100,0,0,1
kenea,5,1757432957350,1757432958850,1757432960350,3000,90,0,0,0,0,1,81,91.86294338959115,91.86294338959115,0,0,1
kenea,6,1757432960744,1757432962244,1757432963744,3000,90,0,0,0,0,1,86,100,100,0,0,1
kenea,7,1757432964313,1757432965813,1757432967313,3000,90,0,0,0,0,1,87,100,100,0,0,1
kenea,8,1757432974141,1757432975641,1757432977141,3000,90,0,0,0,0,1,75,70.86213012013171,70.86213012013171,0,0,1
kenea,9,1757432978161,1757432979661,1757432981161,3000,90,0,0,0,0,1,84,100,100,0,0,1
kenea,10,1757432983000,1757432984500,1757432986000,3000,90,0,0,0,0,1,88,100,100,0,0,1
