session_id,rep_id,frame_number,timestamp,phase,knee_angle_left,knee_angle_right,hip_angle,back_angle,ankle_angle_left,ankle_angle_right,center_of_mass_x,center_of_mass_y,movement_velocity,acceleration,jerk,knee_symmetry_ratio,ankle_symmetry_ratio,weight_distribution_ratio,postural_sway,base_of_support_width,landmark_visibility,frame_quality_score,head_position_x,head_position_y,shoulder_alignment,heel_lift_left,heel_lift_right,foot_stability_score
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,1,1756592249.8528078,standing,170.29007581044,158.74741089432965,169.5572064829431,96.09226986261497,0.0,0.0,0.39094820618629456,0.4739924520254135,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9148442819714546,0.965937712788582,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,2,1756592249.93611,standing,172.6161372718398,159.55008346842553,172.81921009190938,98.13981463386365,0.0,0.0,0.38765035569667816,0.4733700826764107,0.10068190161393048,3.0204570484179145,90.61371145253743,1.0,1.0,1.0,0.0,0.0,0.9171456918120384,0.9668582767248155,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,3,1756592249.9669154,standing,171.93735478243008,157.4147287261993,173.18438670795143,98.35310331171232,0.0,0.0,0.3854217007756233,0.47328202426433563,0.0669118176181997,-1.0131025198719235,-121.00678704869513,1.0,1.0,1.0,0.0,0.0,0.9192144870758057,0.9676857948303224,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,4,1756592250.0069957,standing,168.81511094767987,153.50567593568968,172.99532514452687,97.00771071181539,0.0,0.0,0.38212376087903976,0.4738410860300064,0.10034969784399574,1.003136406773881,60.487167799374134,1.0,1.0,1.0,0.0,0.0,0.9170896485447884,0.9668358594179154,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,5,1756592250.0309844,standing,165.66873806810588,152.63010183860396,172.12930719147823,94.87444973497577,0.0,0.0,0.3788950517773628,0.4731852039694786,0.0988396143583955,-0.04530250456800708,-31.453167340256645,1.0,1.0,1.0,0.0,0.0,0.9195436164736748,0.96781744658947,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,6,1756592250.0624058,standing,163.18208727681338,150.87981879078876,171.94703851133326,93.75633119093213,0.0,0.0,0.37776264548301697,0.47312983870506287,0.03401276811993026,-1.9448053871539572,-56.985086477578506,1.0,1.0,1.0,0.0,0.0,0.9216511100530624,0.968660444021225,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,7,1756592250.1284342,standing,161.02221385175395,151.35319879252737,171.75419365413836,91.6830961758647,0.0,0.0,0.3779530003666878,0.47417640686035156,0.03191215907552387,-0.06301827133219175,56.45361347465296,1.0,1.0,1.0,0.0,0.0,0.9244856983423233,0.9697942793369294,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,8,1756592250.1601632,standing,160.87666723918355,147.9361999672371,169.13627344884003,90.57562441002578,0.0,0.0,0.37748490273952484,0.4772314950823784,0.09272222759204146,1.8243020554955278,56.61960980483159,1.0,1.0,1.0,0.0,0.0,0.9277579933404922,0.971103197336197,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,9,1756592250.2076542,standing,158.1102331641177,143.32335941489265,164.71096342520985,92.00622191358903,0.0,0.0,0.37826259434223175,0.48408179730176926,0.20682915716436373,3.423207887169668,47.967174950224205,1.0,1.0,1.0,0.0,0.0,0.9313996806740761,0.9725598722696305,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,10,1756592250.2550993,standing,152.41917955999983,134.422271897955,156.84714614126946,94.17212707199046,0.0,0.0,0.378633014857769,0.48817475885152817,0.12329067704219236,-2.5061544036651413,-177.8808687250443,1.0,1.0,1.0,0.0,0.0,0.9343376606702805,0.9737350642681122,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,11,1756592250.2871723,standing,141.17165076229028,119.6296798494102,144.3783844967872,97.47819454005658,0.0,0.0,0.38078635185956955,0.49215754121541977,0.1358288409775493,0.3761449180607081,86.46897965177548,1.0,1.0,1.0,0.0,0.0,0.9367695301771164,0.9747078120708466,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,12,1756592250.3187585,descent,129.99039093839323,112.32570814552992,135.25256415012956,99.86843018147913,0.0,0.0,0.38203345239162445,0.497753344476223,0.17199257682702715,1.0849120754843355,21.26301472270882,1.0,1.0,1.0,0.0,0.0,0.939799576997757,0.9759198307991028,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,13,1756592250.3344328,descent,115.15809336128765,98.59127152122495,120.70454672071028,104.07829653507878,0.0,0.0,0.3846539407968521,0.5042578727006912,0.2103764773313614,1.1515170151300271,1.9981481893707476,1.0,1.0,1.0,0.0,0.0,0.9436343610286713,0.9774537444114686,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,14,1756592250.3823023,bottom,101.58701207645075,86.71293406360682,106.21960702399932,108.43924471795427,0.0,0.0,0.38794751465320587,0.5115253329277039,0.2393684319383422,0.8697586382094245,-8.452751307618081,1.0,1.0,1.0,0.0,0.0,0.9460357874631882,0.9784143149852753,,,,,,
session_20250830_231729_main_user,session_20250830_231729_main_user_rep_001,15,1756592250.429722,bottom,99.06598970431855,81.05827716014015,97.5936690643823,112.41609420766731,0.0,0.0,0.38998962193727493,0.5168444067239761,0.17092826971819047,-2.0532048666045517,-87.68890514441928,1.0,1.0,1.0,0.0,0.0,0.9445408210158348,0.9778163284063339,,,,,,
